query,faq_id
年假怎么申请？需要走什么流程？,HR-001
请问年假怎么申请？需要走什么流程？,HR-001
咨询一下年假怎么申请？需要走什么流程？,HR-001
申请年假需要提供哪些材料？,HR-002
想问下申请年假需要提供哪些材料？,HR-002
请问申请年假需要提供哪些材料？需要准备什么？,HR-002
病假怎么申请？需要走什么流程？,HR-003
请问病假怎么申请？需要走什么流程？需要准备什么？,HR-003
麻烦问下病假怎么申请？需要走什么流程？,HR-003
申请病假需要提供哪些材料？,HR-004
请问申请病假需要提供哪些材料？,HR-004
想问下申请病假需要提供哪些材料？,HR-004
事假怎么申请？需要走什么流程？,HR-005
事假怎么申请？需要走什么流程？需要准备什么？,HR-005
请问事假怎么申请？需要走什么流程？需要准备什么？,HR-005
申请事假需要提供哪些材料？,HR-006
想问下申请事假需要提供哪些材料？需要准备什么？,HR-006
麻烦问下申请事假需要提供哪些材料？,HR-006
调休怎么申请？需要走什么流程？,HR-007
麻烦问下调休怎么申请？需要走什么流程？需要准备什么？,HR-007
咨询一下调休怎么申请？需要走什么流程？,HR-007
申请调休需要提供哪些材料？,HR-008
想问下申请调休需要提供哪些材料？流程是什么？,HR-008
咨询一下申请调休需要提供哪些材料？怎么弄？,HR-008
产假/陪产假怎么申请？需要走什么流程？,HR-009
想问下产假/陪产假怎么申请？需要走什么流程？,HR-009
咨询一下产假/陪产假怎么申请？需要走什么流程？,HR-009
申请产假/陪产假需要提供哪些材料？,HR-010
请问申请产假/陪产假需要提供哪些材料？流程是什么？,HR-010
请问申请产假/陪产假需要提供哪些材料？怎么弄？,HR-010
迟到/早退怎么处理？,HR-011
咨询一下迟到/早退怎么处理？需要准备什么？,HR-011
咨询一下迟到/早退怎么处理？,HR-011
忘记打卡怎么办？,HR-012
麻烦问下忘记打卡怎么办？需要准备什么？,HR-012
请问忘记打卡怎么办？流程是什么？,HR-012
加班怎么申请？,HR-013
请问加班怎么申请？需要准备什么？,HR-013
咨询一下加班怎么申请？需要准备什么？,HR-013
远程办公怎么申请？,HR-014
咨询一下远程办公怎么申请？需要准备什么？,HR-014
想问下远程办公怎么申请？,HR-014
工资发放日是每月几号？,HR-015
请问工资发放日是每月几号？,HR-015
咨询一下工资发放日是每月几号？,HR-015
工资条在哪里查看？,HR-016
想问下工资条在哪里查看？,HR-016
麻烦问下工资条在哪里查看？怎么弄？,HR-016
个税申报相关问题找谁？,HR-017
麻烦问下个税申报相关问题找谁？怎么弄？,HR-017
想问下个税申报相关问题找谁？怎么弄？,HR-017
社保/公积金缴纳比例是多少？,HR-018
咨询一下社保/公积金缴纳比例是多少？,HR-018
补充医疗/商业保险怎么用？,HR-019
入职需要准备哪些材料？,HR-020
想问下入职需要准备哪些材料？流程是什么？,HR-020
麻烦问下入职需要准备哪些材料？怎么弄？,HR-020
试用期多久？试用期考核怎么做？,HR-021
咨询一下试用期多久？试用期考核怎么做？,HR-021
离职流程怎么走？,HR-022
想问下离职流程怎么走？,HR-022
咨询一下离职流程怎么走？流程是什么？,HR-022
转岗/调岗怎么申请？,HR-023
咨询一下转岗/调岗怎么申请？,HR-023
想问下转岗/调岗怎么申请？需要准备什么？,HR-023
差旅如何报销？需要哪些凭证？,HR-024
咨询一下差旅如何报销？需要哪些凭证？,HR-024
麻烦问下差旅如何报销？需要哪些凭证？流程是什么？,HR-024
差旅报销需要在多久内提交？,HR-025
麻烦问下差旅报销需要在多久内提交？,HR-025
咨询一下差旅报销需要在多久内提交？,HR-025
交通如何报销？需要哪些凭证？,HR-026
想问下交通如何报销？需要哪些凭证？需要准备什么？,HR-026
交通如何报销？需要哪些凭证？怎么弄？,HR-026
交通报销需要在多久内提交？,HR-027
交通报销需要在多久内提交？流程是什么？,HR-027
餐费如何报销？需要哪些凭证？,HR-028
咨询一下餐费如何报销？需要哪些凭证？,HR-028
想问下餐费如何报销？需要哪些凭证？需要准备什么？,HR-028
餐费报销需要在多久内提交？,HR-029
麻烦问下餐费报销需要在多久内提交？,HR-029
请问餐费报销需要在多久内提交？,HR-029
采购如何报销？需要哪些凭证？,HR-030
想问下采购如何报销？需要哪些凭证？,HR-030
麻烦问下采购如何报销？需要哪些凭证？需要准备什么？,HR-030
采购报销需要在多久内提交？,HR-031
请问采购报销需要在多久内提交？流程是什么？,HR-031
麻烦问下采购报销需要在多久内提交？需要准备什么？,HR-031
出差如何申请？,HR-032
麻烦问下出差如何申请？需要准备什么？,HR-032
咨询一下出差如何申请？需要准备什么？,HR-032
机票/酒店怎么预订？,HR-033
请问机票/酒店怎么预订？,HR-033
机票/酒店怎么预订？怎么弄？,HR-033
邮箱/账号如何开通？,HR-034
咨询一下邮箱/账号如何开通？,HR-034
咨询一下邮箱/账号如何开通？流程是什么？,HR-034
忘记密码怎么办？,HR-035
想问下忘记密码怎么办？流程是什么？,HR-035
请问忘记密码怎么办？怎么弄？,HR-035
VPN怎么申请？,HR-036
办公软件许可证怎么申请？,HR-037
咨询一下办公软件许可证怎么申请？需要准备什么？,HR-037
电脑/工牌等资产如何领用与归还？,HR-038
想问下电脑/工牌等资产如何领用与归还？怎么弄？,HR-038
想问下电脑/工牌等资产如何领用与归还？需要准备什么？,HR-038
法定节假日怎么安排？,HR-039
法定节假日怎么安排？怎么弄？,HR-039
年终奖/绩效奖金怎么发？,HR-040
麻烦问下年终奖/绩效奖金怎么发？,HR-040
请问年终奖/绩效奖金怎么发？怎么弄？,HR-040
保密制度有哪些要求？,HR-041
咨询一下保密制度有哪些要求？,HR-041
请问保密制度有哪些要求？,HR-041
年假如何申请？需要走什么流程？,HR-042
请问年假如何申请？需要走什么流程？流程是什么？,HR-042
病假如何申请？需要走什么流程？,HR-043
请问病假如何申请？需要走什么流程？需要准备什么？,HR-043
想问下病假如何申请？需要走什么流程？,HR-043
事假如何申请？需要走什么流程？,HR-044
麻烦问下事假如何申请？需要走什么流程？需要准备什么？,HR-044
想问下事假如何申请？需要走什么流程？怎么弄？,HR-044
调休如何申请？需要走什么流程？,HR-045
调休如何申请？需要走什么流程？需要准备什么？,HR-045
麻烦问下调休如何申请？需要走什么流程？,HR-045
产假/陪产假如何申请？需要走什么流程？,HR-046
咨询一下产假/陪产假如何申请？需要走什么流程？流程是什么？,HR-046
迟到/早退如何处理？,HR-047
咨询一下迟到/早退如何处理？流程是什么？,HR-047
迟到/早退如何处理？流程是什么？,HR-047
忘记打卡如何办？,HR-048
请问忘记打卡如何办？,HR-048
想问下忘记打卡如何办？,HR-048
忘记打卡如何处理？,HR-049
咨询一下忘记打卡如何处理？,HR-049
忘记打卡如何处理？需要准备什么？,HR-049
加班如何申请？,HR-050
想问下加班如何申请？需要准备什么？,HR-050
想问下加班如何申请？,HR-050
远程办公如何申请？,HR-051
请问远程办公如何申请？,HR-051
想问下远程办公如何申请？,HR-051
工资条在哪儿查看？,HR-052
请问工资条在哪儿查看？怎么弄？,HR-052
请问工资条在哪儿查看？需要准备什么？,HR-052
补充医疗/商业保险如何用？,HR-053
想问下补充医疗/商业保险如何用？怎么弄？,HR-053
麻烦问下补充医疗/商业保险如何用？,HR-053
试用期多久？试用期考核如何做？,HR-054
试用期多久？试用期考核如何做？需要准备什么？,HR-054
离职流程如何走？,HR-055
麻烦问下离职流程如何走？,HR-055
麻烦问下离职流程如何走？流程是什么？,HR-055
转岗/调岗如何申请？,HR-056
想问下转岗/调岗如何申请？,HR-056
请问转岗/调岗如何申请？流程是什么？,HR-056
差旅如何报销？要准备什么凭证？,HR-057
咨询一下差旅如何报销？要准备什么凭证？流程是什么？,HR-057
麻烦问下差旅如何报销？要准备什么凭证？流程是什么？,HR-057
交通如何报销？要准备什么凭证？,HR-058
请问交通如何报销？要准备什么凭证？,HR-058
请问交通如何报销？要准备什么凭证？流程是什么？,HR-058
餐费如何报销？要准备什么凭证？,HR-059
咨询一下餐费如何报销？要准备什么凭证？,HR-059
想问下餐费如何报销？要准备什么凭证？,HR-059
采购如何报销？要准备什么凭证？,HR-060
想问下采购如何报销？要准备什么凭证？需要准备什么？,HR-060
麻烦问下采购如何报销？要准备什么凭证？,HR-060
机票/酒店如何预订？,HR-061
麻烦问下机票/酒店如何预订？,HR-061
咨询一下机票/酒店如何预订？流程是什么？,HR-061
忘记密码如何办？,HR-062
想问下忘记密码如何办？,HR-062
麻烦问下忘记密码如何办？需要准备什么？,HR-062
忘记密码如何处理？,HR-063
请问忘记密码如何处理？,HR-063
VPN如何申请？,HR-064
请问VPN如何申请？,HR-064
想问下VPN如何申请？流程是什么？,HR-064
办公软件许可证如何申请？,HR-065
麻烦问下办公软件许可证如何申请？流程是什么？,HR-065
想问下办公软件许可证如何申请？流程是什么？,HR-065
法定节假日如何安排？,HR-066
请问法定节假日如何安排？,HR-066
麻烦问下法定节假日如何安排？,HR-066
年终奖/绩效奖金如何发？,HR-067
麻烦问下年终奖/绩效奖金如何发？怎么弄？,HR-067
