query,faq_id
咨询一下加班怎么申请？需要准备什么？,HR-013
麻烦问下采购如何报销？需要哪些凭证？需要准备什么？,HR-030
请问工资发放日是每月几号？,HR-015
VPN怎么申请？,HR-036
请问申请病假需要提供哪些材料？,HR-004
病假如何申请？需要走什么流程？,HR-043
保密制度有哪些要求？,HR-041
请问事假怎么申请？需要走什么流程？需要准备什么？,HR-005
想问下采购如何报销？要准备什么凭证？需要准备什么？,HR-060
想问下忘记打卡如何办？,HR-048
咨询一下保密制度有哪些要求？,HR-041
差旅如何报销？需要哪些凭证？,HR-024
请问年终奖/绩效奖金怎么发？怎么弄？,HR-040
麻烦问下补充医疗/商业保险如何用？,HR-053
想问下事假如何申请？需要走什么流程？怎么弄？,HR-044
咨询一下出差如何申请？需要准备什么？,HR-032
入职需要准备哪些材料？,HR-020
想问下餐费如何报销？需要哪些凭证？需要准备什么？,HR-028
餐费如何报销？要准备什么凭证？,HR-059
想问下忘记密码怎么办？流程是什么？,HR-035
想问下电脑/工牌等资产如何领用与归还？需要准备什么？,HR-038
忘记打卡如何处理？,HR-049
忘记打卡怎么办？,HR-012
调休怎么申请？需要走什么流程？,HR-007
麻烦问下调休如何申请？需要走什么流程？,HR-045
想问下餐费如何报销？要准备什么凭证？,HR-059
咨询一下转岗/调岗怎么申请？,HR-023
想问下采购如何报销？需要哪些凭证？,HR-030
想问下加班如何申请？,HR-050
补充医疗/商业保险如何用？,HR-053
想问下交通如何报销？需要哪些凭证？需要准备什么？,HR-026
申请产假/陪产假需要提供哪些材料？,HR-010
想问下VPN如何申请？流程是什么？,HR-064
办公软件许可证怎么申请？,HR-037
社保/公积金缴纳比例是多少？,HR-018
差旅如何报销？要准备什么凭证？,HR-057
想问下申请年假需要提供哪些材料？,HR-002
请问申请产假/陪产假需要提供哪些材料？怎么弄？,HR-010
想问下忘记密码如何办？,HR-062
想问下远程办公怎么申请？,HR-014
请问保密制度有哪些要求？,HR-041
年终奖/绩效奖金如何发？,HR-067
转岗/调岗如何申请？,HR-056
请问工资条在哪儿查看？需要准备什么？,HR-052
麻烦问下年终奖/绩效奖金怎么发？,HR-040
请问年假如何申请？需要走什么流程？流程是什么？,HR-042
咨询一下产假/陪产假如何申请？需要走什么流程？流程是什么？,HR-046
咨询一下迟到/早退如何处理？流程是什么？,HR-047
麻烦问下事假如何申请？需要走什么流程？需要准备什么？,HR-044
麻烦问下年终奖/绩效奖金如何发？怎么弄？,HR-067
机票/酒店怎么预订？怎么弄？,HR-033
差旅报销需要在多久内提交？,HR-025
申请调休需要提供哪些材料？,HR-008
调休如何申请？需要走什么流程？需要准备什么？,HR-045
咨询一下餐费如何报销？需要哪些凭证？,HR-028
申请病假需要提供哪些材料？,HR-004
采购如何报销？需要哪些凭证？,HR-030
麻烦问下采购如何报销？要准备什么凭证？,HR-060
麻烦问下出差如何申请？需要准备什么？,HR-032
麻烦问下忘记打卡怎么办？需要准备什么？,HR-012
采购报销需要在多久内提交？,HR-031
试用期多久？试用期考核如何做？需要准备什么？,HR-054
工资条在哪里查看？,HR-016
麻烦问下工资条在哪里查看？怎么弄？,HR-016
机票/酒店如何预订？,HR-061
想问下工资条在哪里查看？,HR-016
法定节假日怎么安排？,HR-039
请问餐费报销需要在多久内提交？,HR-029
请问忘记打卡如何办？,HR-048
麻烦问下办公软件许可证如何申请？流程是什么？,HR-065
个税申报相关问题找谁？,HR-017
想问下产假/陪产假怎么申请？需要走什么流程？,HR-009
麻烦问下机票/酒店如何预订？,HR-061
请问远程办公如何申请？,HR-051
交通报销需要在多久内提交？,HR-027
咨询一下试用期多久？试用期考核怎么做？,HR-021
工资条在哪儿查看？,HR-052
麻烦问下申请事假需要提供哪些材料？,HR-006
麻烦问下个税申报相关问题找谁？怎么弄？,HR-017
请问机票/酒店怎么预订？,HR-033
交通报销需要在多久内提交？流程是什么？,HR-027
咨询一下调休怎么申请？需要走什么流程？,HR-007
咨询一下邮箱/账号如何开通？流程是什么？,HR-034
咨询一下迟到/早退怎么处理？需要准备什么？,HR-011
想问下加班如何申请？需要准备什么？,HR-050
请问病假如何申请？需要走什么流程？需要准备什么？,HR-043
想问下申请病假需要提供哪些材料？,HR-004
麻烦问下差旅如何报销？需要哪些凭证？流程是什么？,HR-024
出差如何申请？,HR-032
机票/酒店怎么预订？,HR-033
产假/陪产假怎么申请？需要走什么流程？,HR-009
忘记密码怎么办？,HR-035
忘记密码如何办？,HR-062
办公软件许可证如何申请？,HR-065
请问采购报销需要在多久内提交？流程是什么？,HR-031
咨询一下机票/酒店如何预订？流程是什么？,HR-061
远程办公怎么申请？,HR-014
麻烦问下差旅如何报销？要准备什么凭证？流程是什么？,HR-057
麻烦问下采购报销需要在多久内提交？需要准备什么？,HR-031
忘记密码如何处理？,HR-063
咨询一下远程办公怎么申请？需要准备什么？,HR-014
请问年假怎么申请？需要走什么流程？,HR-001
交通如何报销？需要哪些凭证？,HR-026
离职流程如何走？,HR-055
年假如何申请？需要走什么流程？,HR-042
麻烦问下入职需要准备哪些材料？怎么弄？,HR-020
法定节假日怎么安排？怎么弄？,HR-039
请问VPN如何申请？,HR-064
想问下个税申报相关问题找谁？怎么弄？,HR-017
请问工资条在哪儿查看？怎么弄？,HR-052
麻烦问下法定节假日如何安排？,HR-066
想问下转岗/调岗如何申请？,HR-056
迟到/早退如何处理？流程是什么？,HR-047
离职流程怎么走？,HR-022
想问下入职需要准备哪些材料？流程是什么？,HR-020
咨询一下申请调休需要提供哪些材料？怎么弄？,HR-008
请问病假怎么申请？需要走什么流程？需要准备什么？,HR-003
麻烦问下病假怎么申请？需要走什么流程？,HR-003
年终奖/绩效奖金怎么发？,HR-040
麻烦问下离职流程如何走？,HR-055
想问下申请调休需要提供哪些材料？流程是什么？,HR-008
远程办公如何申请？,HR-051
麻烦问下忘记密码如何办？需要准备什么？,HR-062
咨询一下产假/陪产假怎么申请？需要走什么流程？,HR-009
请问忘记打卡怎么办？流程是什么？,HR-012
试用期多久？试用期考核怎么做？,HR-021
转岗/调岗怎么申请？,HR-023
咨询一下差旅报销需要在多久内提交？,HR-025
病假怎么申请？需要走什么流程？,HR-003
请问申请产假/陪产假需要提供哪些材料？流程是什么？,HR-010
咨询一下餐费如何报销？要准备什么凭证？,HR-059
